Location name,Amount spent (GTQ)
Alta Verapaz Department,636
Baja Verapaz Department,280
Chimaltenango Department,654
Chiquimula Department,431
El Progreso Department,206
Escuintla Department,1129
Guatemala Department,13472
Huehuetenango Department,1147
Izabal Department,683
Jalapa Department,320
Jutiapa Department,469
Petén Department,470
Quetzaltenango Department,1338
Quiché Department,701
Retalhuleu Department,413
Sacatepéquez Department,543
San Marcos Department,2523
Santa Rosa Department,344
Sololá Department,435
Suchitepéquez Department,577
Totonicapán Department,383
Unknown,≤100
Zacapa Department,330
