Location name,Amount spent (RON)
Alba County,169
Arad County,488
Argeș County,344
Bacău County,378
Bihor County,291
Bistrița-Năsăud County,162
Botoșani County,169
Brașov County,289
Brăila County,136
Bucharest,1245
Buzău County,170
Caraș-Severin County,134
Cluj County,513
Constanța County,345
Covasna County,101
Călărași County,≤100
Dolj County,256
Dâmbovița County,199
Galați County,258
Giurgiu County,≤100
Gorj County,174
Harghita County,145
Hunedoara County,231
Ialomița County,≤100
Iași County,328
Ilfov County,256
Maramureș County,409
Mehedinți County,103
Mureș County,317
Neamț County,267
Olt County,130
Prahova County,311
Satu Mare County,141
Sibiu County,208
Suceava County,280
Sălaj County,110
Teleorman County,141
Timiș County,407
Tulcea County,≤100
Unknown,≤100
Vaslui County,126
Vrancea County,179
Vâlcea County,191
