Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
26458152911,SOS Børnebyerne,SOS Børnebyerne,11242,37
220361474643059,Arla,Arla,7180,20
65929129383,Røde Kors,Røde Kors,6499,58
59143726810,Psykiatrifonden,Psykiatrifonden,6014,7
399210657232918,PlanBørnefonden,PlanBørnefonden,5108,23
633648073469576,Folketingets EU-Oplysning,Folketingets EU-Oplysning,4549,49
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,4082,19
116269191760882,DSB,DSB,3621,1
122577072476986,Amalo,Amalo,3254,18
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,3036,36
867877683280051,Weekendavisen,Weekendavisen,3008,15
72672361910,Børns Vilkår,Børns Vilkår,2874,11
748887235210811,Obton Forvaltning A/S,Obton A/S,2410,20
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,2402,10
12787473132,Berlingske,Berlingske,2165,19
67571270393,Red Barnet,Red Barnet,1999,35
125934997444897,SuperBrugsen,Coop,1630,1
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1484,36
55365680705,Greenpeace Danmark,Greenpeace Danmark,1407,42
106468772046278,Project Greensand,Project Greensand,1287,4
102154048301476,Lederstof.dk,Lederne,1143,2
250994288337708,Sex og Samfund,Sex og Samfund,1129,8
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,1110,24
437410226312057,Københavns Kommune,Københavns Kommune,1052,4
175901923124109,København LIV,København LIV,830,2
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,798,20
1643818125897989,Fonden Novavi,Fonden Novavi,788,22
287306323369,Børnecancerfonden,Børnecancerfonden,766,2
154415494575789,IDA,IDA,740,4
130388840342741,Danske Bank,Danske Bank,597,4
12458150929,Radikale Venstre,Radikale Venstre,581,2
103778941848389,Skanderborg LIV,SkanderborgLIV,563,1
109777417966097,Syddjurs LIV,SyddjursLIV,555,1
110968767844640,Norddjurs LIV,NorddjursLIV,551,1
