Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
135843375926,UNICEF Norge,UNICEF Norge,3864,16
83499305740,Tekna – Teknisk-naturvitenskapelig forening,Tekna,3234,2
236289346497856,Helsedirektoratet – Helsa di,Helsedirektoratet,2612,5
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,2571,56
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,1909,2
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,1063,30
20468812735,LO,LO,969,11
171408368520,Norad,Norad,967,6
108203984145752,Kruse Larsen,Kruse Larsen,950,4
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,915,1
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,490,10
110647840532680,Merge Mayor,These ads ran without a disclaimer,474,1
33483001033,SV - Sosialistisk Venstreparti,SV - Sosialistisk Venstreparti,448,9
117726821605303,PBL,Aurora Dyrnes,410,2
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,379,6
94140749496,HL-senteret,HL-senteret,324,1
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,324,7
103416468959918,UkrainasFrihetshjelp.no,Kristen Tinius Torp,297,3
772203719475318,Oslo Arbeidersamfunn,Kasper Silkoset Syvertsen,268,1
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,258,2
1521171171481259,Boktips,Cappelen Damm,241,3
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,237,4
21967399403,Cappelen Damm,Cappelen Damm,183,3
102560641840786,Preventio,Preventio,179,1
329095637110085,FRANTZ AS,Frantz as,179,4
10254410675,Venstre,Venstre,153,3
412991556169510,Ole Hovengen,Ole Hovengen,144,1
128907043832503,Nettverk for dyrs frihet,Nettverk for dyrs frihet,111,1
106060042300827,Ann-Kristin Moldjord,Ann-Kristin Moldjord,110,1
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),108,2
126448980866214,Klassekampen,Klassekampen AS,108,1
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,106,1
46448594983,Næringsforeningen i Stavanger-regionen,Næringsforeningen i Stavanger-regionen,≤100,1
105939782037295,Altinget.no,Altinget AS,≤100,1
109820865749775,Betong Norge - Betongelementforeningen,John E Reiersen,≤100,1
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100,4
693936813951302,SALT art & music,SALT art & music,≤100,1
148692835218460,Språkrådet (NO),Språkrådet,≤100,3
718942011483190,Aftenposten Historie,Aftenposten,≤100,1
111322125898812,Filter Nyheter,Filter Nyheter,≤100,2
157932564240522,Lørenskog FrP,Lørenskog FrP,≤100,2
102634568255494,Klimavenner for Kjernekraft,Klimavenner for Kjernekraft,≤100,1
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100,1
101905329192165,Henning Holsvik -Krf,Henning Holsvik,≤100,1
134531249931603,Troms og Finnmark fylkeskommune,Troms og Finnmark fylkeskommune,≤100,1
951822431533459,LNT - Landsforeningen for Nyrepasienter og Transplanterte,Landsforeningen for Nyrepasienter og Transplanterte,≤100,2
620408144801035,Vestnes Arbeiderparti,Vestnes Arbeiderparti,≤100,1
198748346812235,Drammen Venstre,Drammen Venstre,≤100,1
100885889429302,Verdinytt,Verdinytt AS,≤100,2
155237934522744,Fellesrådet for Afrika - Norwegian Council for Africa,Fellesrådet for Afrika,≤100,1
156545564365962,Stavanger Arbeiderparti,Stavanger Arbeiderparti,≤100,1
610353968979259,Leger mot atomvåpen,Norske leger mot atomvåpen,≤100,1
112631767587663,Meninger24,Meninger24,≤100,2
103814352620250,Wiadomość dnia,These ads ran without a disclaimer,≤100,1
1628882677340794,Bamble Senterparti,Bamble Senterparti,≤100,1
102197356114676,Kvam INP,Torvald Håvardstun,≤100,1
1094736387315823,Ny Kurs Moss,Ny Kurs,≤100,1
105521214958484,Stig-Ronny Nilsen- ordførerkandidat.,Stig-Ronny Nilsen- ordførerkandidat.,≤100,1
1608590482799968,Bare Flyt,Bare Flyt,≤100,4
111011748401165,Washington Kane,These ads ran without a disclaimer,≤100,1
77144867225,Norræna húsið  The Nordic House,These ads ran without a disclaimer,≤100,1
102853206050540,Aktualne programy,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
538885042915771,Svenska samlarprodukter AB,These ads ran without a disclaimer,≤100,1
108420041636307,Ricardo Negócios Imobiliários,These ads ran without a disclaimer,≤100,1
108254858551015,ENERGY ACT FOR UKRAINE Foundation,These ads ran without a disclaimer,≤100,1
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100,1
104444909085222,Glory of Fun,These ads ran without a disclaimer,≤100,1
107792993071886,Fairnatural,These ads ran without a disclaimer,≤100,1
100985078790660,World Planting,These ads ran without a disclaimer,≤100,2
105052565827737,Мировые новости,These ads ran without a disclaimer,≤100,1
1517088885216557,AIG,These ads ran without a disclaimer,≤100,2
124650430922882,Oulun yliopisto - University of Oulu,These ads ran without a disclaimer,≤100,1
101623072663937,IOT Solutions World Congress 2023,These ads ran without a disclaimer,≤100,1
120494628004036,All Hands and Hearts,These ads ran without a disclaimer,≤100,1
102832392688253,Southland 360,These ads ran without a disclaimer,≤100,1
108091988358295,Travels All Abroad,These ads ran without a disclaimer,≤100,1
100390846301002,Мировые новости,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
497097197026277,Real life at McKinsey,These ads ran without a disclaimer,≤100,1
