Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
1468570519872644,Santiago Peña,PRANA SA,3156042,43
103771265752808,Vysokolán,Stephan Vysokolán,1859366,12
532716330164048,Sole Núñez,Sole Núñez,1819641,33
100490136261426,María Cristina Campuzano Senadora,María Cristina Campuzano Senadora,997831,3
943824938962084,Luis Fernando,Luis Fernando,805327,17
102266292553995,Sucia Política,Diego Ricardo Ramírez,598610,9
102917519228790,Bruno Defelippe,PautaPY,559991,4
1310731702357133,GEN,GEN,454881,4
110447625137045,Pilar Callizo,PautaPY,441431,3
153958777947957,Paulo Reichardt,Paulo Reichardt,426295,14
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,390026,10
105796025619350,Tati Giménez Diputado 2023,Tati Giménez Diputado 2023,383225,10
665680343451704,Lider Amarilla,Lider Santiago Amarilla Rios,372290,3
102963512483270,PyElige,PY Elige,370023,10
196599783696918,Efrain Alegre,Comunicá,360835,31
1964503917155087,Stephan Rasmussen,Stephan Rasmussen Gonzales,354302,7
105052422297773,Pedrito Gómez,Maria Jose Castillo Vega,350091,14
325540631525675,En La Tecla,En la Tecla,347233,8
1608625919447826,Blanca Ovelar Senadora Nacional,Blanca Ovelar Senadora Nacional,316160,7
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,311931,7
196599783696918,Efrain Alegre,Efrain Alegre,294823,21
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,276524,9
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,262895,19
498022813689642,Oscar González Drakeford,Oscar González,245260,13
113351910838827,Alma Cívica,Alma Cívica,225231,14
242118359309178,Ricardo Estigarribia,Douglas Mateus Hendges,198177,7
105977768646306,Bernardo Zárate Gobernador,Bernardo Zárate Gobernador,196388,4
114061877001545,Víctor Pecci,PRANA SA,187997,1
103759862278474,Victor Miranda Py,Clicnovo,179393,7
100959471597014,José Antonio Galeano,José Antonio Galeano,174128,11
1094373423935985,German Solinger,Grissel Zárate Sotelo,173536,2
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,166872,1
192161474526084,Luis Fretes Senador,Luis Fretes Senador,162293,4
483666425147964,Richard Ramirez,Richard Ramirez,162293,8
109626041763537,Natalicio Chase,Global Agencia,159740,4
827201027312903,César LANDY Torres,Jose Dolores Zarate Gonzalez,152761,2
105545157610039,Euclides Acevedo,Marco Antonio Martinez Almiron,138330,6
1711765125817047,Aldo Florentin,IMAGEN DE GOBIERNO,137987,6
1753251591598763,Dani Mujica,Dani Mujica,118459,8
109041755331821,Abg. Esther Roa,Maria Esther Roa De Espinola,110899,4
266016903502005,Senador Carlos Gómez Zelada,Senador Carlos Gómez Zelada,103070,1
106506085341990,Raúl Portillo,Rodney Zorrilla Ortiz,97567,2
103681832340596,Kpeto Cano,Kpeto Cano,97538,3
102171848430562,Dr. Noguera 2023,Jacinto Rafael Noguera Arzamendia,97415,7
107104641909575,Rubén Rubin,Rubén Rubin,95197,2
1222077187832207,Gustavo Leite,Gustavo Alfredo Leite Gusinky,93999,3
647864758888200,Seba Garcia,Sebastian Garcia,92446,2
112866004765581,Taurino González,Elias Escobar Fernández,90657,4
125314197496488,Carlos Filizzola,Carlos Filizzola,90608,3
1575743279360941,Carlos Cáceres Sarubbi Senador 2023,Carlos Agustin Caceres Sarubbi,90136,12
517426394969535,Ricardo Canese,Ricardo Canese,89862,1
105678502467624,Soledad Villagra,Soledad Villagra Carron,89820,2
1692624097481207,Mujeres GANAR,Mujeres GANAR,88668,2
490637354648727,Ing.Juan Carlos Baruja,Juan Carlos Baruja Fernandez,87734,3
105545157610039,Euclides Acevedo,Euclides Roberto Acevedo Candia,87054,1
107956328706667,Sary Helman Diputada,Fabiana Marlene Cañete Helman,85435,2
405176719648043,Dr. César Meza Bría,Esteban Giovanni Fortunatti,81303,2
108982768685910,Cynthia Rios Diputada,Wilson Armoa,79537,7
242118359309178,Ricardo Estigarribia,Ricardo Estigarribia,79537,3
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,77383,5
109518664936707,Rubén Roussillón Diputado,Rubén Roussillón Diputado,70180,1
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,69130,3
118776213294753,Atenil Paraguay,Atenil Paraguay,68269,2
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,67645,1
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,67173,2
104813164326510,Ko'ê Pyahu Ka'asapa,Emmanuel Pratt,66106,1
107587622053186,Dra. Vivian Santander 2023,Santander Santander Clinica,66068,5
614795685343483,Belén Maldonado,Belén Maldonado,60348,2
108839041769929,José López,Hugo Alfonso Aquino Diaz,58783,4
113076310393725,Diana de Smith - Concejal Departamental 2023,Maria Cecilia Smith Villalba,57845,8
