Location name,Amount spent (RON)
Alba County,511
Arad County,658
Argeș County,1580
Bacău County,660
Bihor County,598
Bistrița-Năsăud County,292
Botoșani County,562
Brașov County,1071
Brăila County,419
Bucharest,4526
Buzău County,778
Caraș-Severin County,246
Cluj County,813
Constanța County,823
Covasna County,236
Călărași County,295
Dolj County,1525
Dâmbovița County,1207
Galați County,707
Giurgiu County,178
Gorj County,572
Harghita County,433
Hunedoara County,384
Ialomița County,514
Iași County,1062
Ilfov County,470
Maramureș County,540
Mehedinți County,251
Mureș County,781
Neamț County,808
Olt County,789
Prahova County,1006
Satu Mare County,519
Sibiu County,474
Suceava County,737
Sălaj County,242
Teleorman County,262
Timiș County,872
Tulcea County,178
Unknown,≤100
Vaslui County,311
Vrancea County,624
Vâlcea County,947
