Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,597
Basra Governorate,139
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,200
Erbil Governorate,449
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,127
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,119
Nineveh Governorate,165
Saladin Governorate,≤100
Sulaymaniyah Governorate,331
Unknown,≤100
Wasit Governorate,≤100
