Location name,Amount spent (SEK)
Blekinge County,2892
Dalarna County,5953
Gotland County,1361
Gävleborg County,6311
Halland County,5482
Jämtland County,3031
Jönköping County,6843
Kalmar County,4188
Kronoberg County,3884
Norrbotten County,5246
Skåne County,28127
Stockholm County,46403
Södermanland County,5917
Unknown,≤100
Uppsala County,7785
Värmland County,5329
Västerbotten County,5629
Västernorrland County,5128
Västmanland County,5225
Västra Götaland County,33408
Örebro County,5780
Östergötland County,9007
