Location name,Amount spent (COP)
Amazonas,1528
Antioquia,6243967
Arauca,15318
Atlantico,787437
Bolivar,181707
Boyaca,1589826
Caldas,116728
Caqueta,19213
Casanare,200069
Cauca,366277
Cesar,106833
Choco,20557
Cordoba,263086
Cundinamarca,455644
Distrito Especial,4023217
Guainia,573
Guaviare,9792
Huila,140990
La Guajira,42889
Magdalena,322329
Meta,666801
Narino,138547
Norte de Santander,237125
Putumayo,92691
Quindio,172491
Risaralda,452798
San Andres y Providencia,7552
Santander,548885
Sucre,64846
Tolima,311157
Unknown,384
Valle del Cauca,4164462
Vaupes,245
Vichada,827
