Location name,Amount spent (RON)
Alba County,1108
Arad County,695
Argeș County,759
Bacău County,780
Bihor County,796
Bistrița-Năsăud County,391
Botoșani County,587
Brașov County,727
Brăila County,347
Bucharest,3488
Buzău County,492
Caraș-Severin County,289
Cluj County,1058
Constanța County,1021
Covasna County,331
Călărași County,336
Dolj County,820
Dâmbovița County,506
Galați County,583
Giurgiu County,207
Gorj County,396
Harghita County,483
Hunedoara County,693
Ialomița County,194
Iași County,1819
Ilfov County,776
Maramureș County,566
Mehedinți County,278
Mureș County,778
Neamț County,528
Olt County,358
Prahova County,933
Satu Mare County,459
Sibiu County,582
Suceava County,685
Sălaj County,281
Teleorman County,302
Timiș County,833
Tulcea County,215
Unknown,≤100
Vaslui County,308
Vrancea County,398
Vâlcea County,345
