Location name,Amount spent (THB)
Amnat Charoen,912
Ang Thong,1069
Ayutthaya,4947
Bangkok,168572
Bueng Kan,741
Buriram,4135
Chachoengsao,2382
Chai Nat,1176
Chaiyaphum,1844
Chanthaburi,4803
Chiang Mai,5763
Chiang Rai,3275
Chon Buri,21572
Chumphon,1808
Kalasin,1465
Kamphaeng Phet,1523
Kanchanaburi,8765
Khon Kaen,13258
Krabi,7990
Lampang,2218
Lamphun,1243
Loei,1268
Lop Buri,1884
Mae Hong Son,424
Maha Sarakham,1878
Mukdahan,687
Nakhon Nayok,587
Nakhon Pathom,6572
Nakhon Phanom,2100
Nakhon Ratchasima,11003
Nakhon Sawan,3028
Nakhon Si Thammarat,9015
Nan,807
Narathiwat,1009
Nong Bua Lam Phu,821
Nong Khai,874
Nonthaburi,8310
Pathum Thani,12453
Pattani,1335
Phangnga,1059
Phatthalung,2813
Phayao,2531
Phetchabun,2466
Phetchaburi,2155
Phichit,2215
Phitsanulok,9445
Phrae,1159
Phuket,11799
Prachin Buri,1622
Prachuap Khiri Khan,2267
Ranong,502
Ratchaburi,4295
Rayong,5216
Roi Et,2421
Sa Kaeo,1983
Sakon Nakhon,2928
Samut Prakan,7878
Samut Sakhon,7524
Samut Songkhram,2040
Saraburi,2954
Satun,903
Sing Buri,592
Sisaket,2613
Songkhla,17116
Sukhothai,1994
Suphan Buri,2596
Surat Thani,26678
Surin,3491
Tak,2475
Trang,5855
Trat,1860
Ubon Ratchathani,3714
Udon Thani,3703
Unknown,≤100
Uthai Thani,795
Uttaradit,901
Yala Province,1054
Yasothon,1844
