Location name,Amount spent (CLP)
Antofagasta Region,223660
Araucanía Region,605725
Arica y Parinacota Region,107645
Atacama Region,116241
Aysén Region,73901
Bío Bío Region,652074
Coquimbo Region,330839
Los Lagos Region,341547
Los Ríos Region,114216
Magallanes y la Antártica Chilena Region,78277
Maule Region,393562
O'Higgins Region,1294059
Santiago Metropolitan Region,2821544
Tarapacá Region,140589
Unknown,1116
Valparaíso Region,790071
