Location name,Amount spent (UYU)
Artigas Department,227
Canelones Department,476
Cerro Largo Department,127
Colonia Department,199
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,259
Maldonado Department,279
Montevideo Department,2634
Paysandú Department,2321
Rivera Department,199
Rocha Department,≤100
Río Negro Department,163
Salto Department,379
San José Department,≤100
Soriano Department,111
Tacuarembó Department,125
Treinta y Tres Department,108
Unknown,≤100
