Location name,Amount spent (SEK)
Blekinge County,12875
Dalarna County,25335
Gotland County,6155
Gävleborg County,24888
Halland County,28049
Jämtland County,11337
Jönköping County,27978
Kalmar County,18393
Kronoberg County,14811
Norrbotten County,21654
Skåne County,108010
Stockholm County,205328
Södermanland County,24849
Unknown,≤100
Uppsala County,34762
Värmland County,23536
Västerbotten County,22219
Västernorrland County,20208
Västmanland County,22664
Västra Götaland County,155359
Örebro County,24611
Östergötland County,35573
