Location name,Amount spent (EUR)
Blagoevgrad Province,151
Burgas Province,235
Dobrich Province,≤100
Gabrovo Province,≤100
Haskovo Province,102
Kardzhali Province,≤100
Kyustendil Province,≤100
Lovech Province,≤100
Montana Province,≤100
Pazardzhik Province,115
Pernik Province,≤100
Pleven Province,111
Plovdiv Province,352
Razgrad Province,≤100
Ruse Province,≤100
Shumen Province,≤100
Silistra Province,≤100
Sliven Province,≤100
Smolyan Province,≤100
Sofia City Province,670
Sofia Province,≤100
Stara Zagora Province,151
Targovishte Province,≤100
Unknown,≤100
Varna Province,263
Veliko Tarnovo Province,123
Vidin Province,≤100
Vratsa Province,≤100
Yambol Province,≤100
