Location name,Amount spent (EUR)
Alsace,569
Aquitaine,1245
Auvergne,387
Basse-Normandie,419
Bourgogne,477
Bretagne,954
Centre,806
Champagne-Ardenne,415
Corse,150
Franche-Comté,323
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,573
Languedoc-Roussillon,1155
Limousin,230
Lorraine,912
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,992
New Caledonia,≤100
Nord-Pas-de-Calais,1353
Pays de la Loire,1011
Picardie,603
Poitou-Charentes,607
Provence-Alpes-Côte d'Azur,2203
Reunion Island,≤100
Rhône-Alpes,2019
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3786
