Location name,Amount spent (ZAR)
Eastern Cape,741
Free State,848
Gauteng,5747
KwaZulu-Natal,1206
Limpopo,459
Mpumalanga,556
North West,546
Northern Cape,316
Unknown,≤100
Western Cape,10459
