Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1271
Bicol Region,4352
Cagayan Valley,3966
Calabarzon,17818
Caraga,2213
Central Luzon,10665
Central Visayas,9384
Cordillera Administrative Region,1753
Davao Region,5948
Eastern Visayas,3723
Ilocos Region,5105
Metro Manila,21511
Mimaropa,2334
Northern Mindanao,4210
Soccsksargen,4336
Unknown,≤100
Western Visayas,10191
Zamboanga Peninsula,3427
