Location name,Amount spent (AUD)
Australian Capital Territory,1204
Jervis Bay Territory,≤100
New South Wales,17431
Northern Territory,439
Queensland,9777
South Australia,3520
Tasmania,1498
Unknown,≤100
Victoria,12725
Western Australia,4932
