Location name,Amount spent (CAD)
Alberta,5167
British Columbia,8169
Manitoba,8328
New Brunswick,1101
Newfoundland and Labrador,956
Northwest Territories,185
Nova Scotia,1322
Nunavut,124
Ontario,27629
Prince Edward Island,254
Quebec,12338
Saskatchewan,1722
Unknown,≤100
Yukon,159
