Location name,Amount spent (PKR)
Azad Kashmir,1432
Balochistan,2289
Federally Administered Tribal Areas,276
Gilgit-Baltistan,835
Islamabad Capital Territory,4169
Khyber Pakhtunkhwa,11362
Punjab,52612
Sindh,28937
Unknown,≤100
