Location name,Amount spent (USD)
Alabama,6570
Alaska,2033
American Samoa,≤100
Arizona,18271
Arkansas,5463
California,61098
Colorado,8649
Connecticut,5471
Delaware,1392
Florida,40053
Georgia,16437
Guam,≤100
Hawaii,2269
Idaho,3532
Illinois,22232
Indiana,12023
Iowa,6562
Kansas,4262
Kentucky,8862
Louisiana,7814
Maine,3211
Maryland,12473
Massachusetts,9851
Michigan,18835
Minnesota,13737
Mississippi,4483
Missouri,10016
Montana,3450
Nebraska,2962
Nevada,5527
New Hampshire,2267
New Jersey,16023
New Mexico,3413
New York,34657
North Carolina,18127
North Dakota,1238
Northern Mariana Islands,≤100
Ohio,16648
Oklahoma,8486
Oregon,7505
Pennsylvania,24874
Puerto Rico,≤100
Rhode Island,1544
South Carolina,7223
South Dakota,1061
Tennessee,11009
Texas,48776
Unknown,≤100
Utah,4787
Vermont,1923
Virgin Islands (U.S.),≤100
Virginia,17702
Washington,12215
"Washington, District of Columbia",7557
West Virginia,3163
Wisconsin,8680
Wyoming,1583
