Location name,Amount spent (TRY)
Adana Province,8174
Adıyaman Province,302
Afyonkarahisar Province,6769
Aksaray Province,824
Amasya Province,537
Ankara Province,28775
Antalya Province,18178
Ardahan Province,227
Artvin Province,157
Aydın Province,2149
Ağrı Province,500
Balıkesir Province,2440
Bartın Province,221
Batman Province,632
Bayburt Province,≤100
Bilecik Province,353
Bingöl Province,111
Bitlis Province,133
Bolu Province,597
Burdur Province,398
Bursa Province,3216
Denizli Province,1416
Diyarbakır Province,1411
Düzce Province,1147
Edirne Province,1897
Elazığ Province,685
Erzincan Province,263
Erzurum Province,1135
Eskişehir Province,1117
Gaziantep Province,2193
Giresun Province,2982
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,2025
Isparta Province,714
Istanbul Province,55199
Iğdır Province,167
Kahramanmaraş Province,699
Karabük Province,610
Karaman Province,729
Kars Province,285
Kastamonu Province,2042
Kayseri Province,1447
Kilis Province,196
Kocaeli Province,1821
Konya Province,4752
Kütahya Province,1171
Kırklareli Province,2079
Kırıkkale Province,2385
Kırşehir Province,501
Malatya Province,453
Manisa Province,4375
Mardin Province,548
Mersin Province,2091
Muğla Province,1095
Muş Province,115
Nevşehir Province,1332
Niğde Province,530
Ordu Province,2723
Osmaniye Province,6959
Rize Province,1414
Sakarya Province,1192
Samsun Province,3363
Siirt Province,314
Sinop Province,858
Sivas Province,1248
Tekirdağ Province,2295
Tokat Province,917
Trabzon Province,6403
Tunceli Province,≤100
Unknown,≤100
Uşak Province,4487
Van Province,404
Yalova Province,385
Yozgat Province,665
Zonguldak Province,2878
Çanakkale Province,619
Çankırı Province,660
Çorum Province,1289
İzmir Province,6025
Şanlıurfa Province,1388
Şırnak Province,513
