Location name,Amount spent (PLN)
Greater Poland Voivodeship,4181
Kuyavian-Pomeranian Voivodeship,2075
Lesser Poland Voivodeship,4179
Lower Silesian Voivodeship,3452
Lublin Voivodeship,1712
Lubusz Voivodeship,908
Masovian Voivodeship,9442
Opole Voivodeship,805
Podkarpackie Voivodeship,1681
Podlaskie Voivodeship,1115
Pomeranian Voivodeship,3009
Silesian Voivodeship,4546
Unknown,≤100
Warmian-Masurian Voivodeship,1587
West Pomeranian Voivodeship,1994
Łódź Voivodeship,2655
Świętokrzyskie Voivodeship,894
