Location name,Amount spent (DKK)
Capital Region of Denmark,24909
Central Denmark Region,11903
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,4915
Region of Southern Denmark,10690
Unknown,≤100
Zealand Region,7006
