Location name,Amount spent (USD)
Azuay Province,857
Bolívar Province,125
Carchi Province,104
Cañar Province,150
Chimborazo Province,332
Cotopaxi Province,211
El Oro Province,785
Esmeraldas Province,339
Galápagos Province,407
Guayas Province,4398
Imbabura Province,283
Loja Province,456
Los Ríos Province,1021
Manabí Province,1999
Morona-Santiago Province,156
Napo Province,≤100
Orellana Province,106
Pastaza Province,104
Pichincha Province,4049
Santa Elena Province,304
Santo Domingo de los Tsáchilas Province,1449
Sucumbíos Province,110
Tungurahua Province,590
Unknown,≤100
Zamora-Chinchipe Province,254
