Location name,Amount spent (HUF)
Baranya County,285755
Borsod-Abaúj-Zemplén County,461466
Budapest,1514345
Bács-Kiskun County,387981
Békés County,258839
Csongrád County,313300
Fejér County,308556
Győr-Moson-Sopron County,345455
Hajdú-Bihar County,467079
Heves County,227314
Jász-Nagykun-Szolnok County,294773
Komárom-Esztergom County,234449
Nógrád County,134280
Pest County,815021
Somogy County,206405
Szabolcs-Szatmár-Bereg County,401056
Tolna County,170062
Unknown,152
Vas County,185247
Veszprém County,230801
Zala County,194375
