Location name,Amount spent (GTQ)
Alta Verapaz Department,549
Baja Verapaz Department,187
Chimaltenango Department,497
Chiquimula Department,324
El Progreso Department,155
Escuintla Department,662
Guatemala Department,13005
Huehuetenango Department,741
Izabal Department,507
Jalapa Department,238
Jutiapa Department,384
Petén Department,322
Quetzaltenango Department,1709
Quiché Department,514
Retalhuleu Department,269
Sacatepéquez Department,1221
San Marcos Department,1777
Santa Rosa Department,286
Sololá Department,680
Suchitepéquez Department,452
Totonicapán Department,467
Unknown,≤100
Zacapa Department,215
