Location name,Amount spent (EGP)
Al Sharqia Governorate,1683
Alexandria Governorate,950
Aswan Governorate,176
Asyut Governorate,348
Beheira Governorate,522
Beni Suef Governorate,269
Cairo Governorate,2551
Dakahlia Governorate,1137
Damietta Governorate,349
Faiyum Governorate,3963
Gharbia Governorate,962
Giza Governorate,899
Ismailia Governorate,522
Kafr el-Sheikh Governorate,562
Luxor Governorate,122
Matrouh Governorate,≤100
Minya Governorate,471
Monufia Governorate,604
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,325
Qalyubia Governorate,907
Qena Governorate,321
Red Sea Governorate,≤100
Sohag Governorate,558
South Sinai Governorate,≤100
Suez Governorate,141
Unknown,≤100
