Location name,Amount spent (IDR)
Aceh,3671742
Bali,3064139
Bangka–Belitung Islands,385034
Banten,3554428
Bengkulu,561985
Central Java,19054002
Central Kalimantan,668186
Central Sulawesi,2210175
East Java,18455123
East Kalimantan,2798881
East Nusa Tenggara,4930583
Gorontalo,2159472
Jakarta,16744251
Jambi,2187505
Lampung,4482602
Maluku,1725674
North Kalimantan,464405
North Maluku,391047
North Sulawesi,3285638
North Sumatra,7412168
Papua (province),619874
Riau,2129293
Riau Islands Province,919569
South Kalimantan,2318353
South Sulawesi,6338244
South Sumatra,4891491
Southeast Sulawesi,2209944
Special Region of Yogyakarta,4572131
Unknown,6190
West Java,19971234
West Kalimantan,1712536
West Nusa Tenggara,3787135
West Papua,332395
West Sulawesi,390379
West Sumatra,2484168
