Location name,Amount spent (AUD)
Australian Capital Territory,1260
Jervis Bay Territory,≤100
New South Wales,16621
Norfolk Island,≤100
Northern Territory,551
Queensland,18905
South Australia,4752
Tasmania,2038
Unknown,≤100
Victoria,15352
Western Australia,8221
