Location name,Amount spent (GTQ)
Alta Verapaz Department,152
Baja Verapaz Department,≤100
Chimaltenango Department,111
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,198
Guatemala Department,2496
Huehuetenango Department,241
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,309
Quiché Department,273
Retalhuleu Department,≤100
Sacatepéquez Department,130
San Marcos Department,403
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,540
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
