Location name,Amount spent (GTQ)
Alta Verapaz Department,1514
Baja Verapaz Department,623
Chimaltenango Department,1242
Chiquimula Department,1490
El Progreso Department,606
Escuintla Department,2344
Guatemala Department,33018
Huehuetenango Department,2273
Izabal Department,1593
Jalapa Department,621
Jutiapa Department,2208
Petén Department,1171
Quetzaltenango Department,4658
Quiché Department,1512
Retalhuleu Department,906
Sacatepéquez Department,1521
San Marcos Department,7524
Santa Rosa Department,658
Sololá Department,1087
Suchitepéquez Department,1236
Totonicapán Department,977
Unknown,≤100
Zacapa Department,612
