Location name,Amount spent (MXN)
Aguascalientes,13748
Baja California,22464
Baja California Sur,3782
Campeche,4270
Chiapas,10096
Chihuahua,26968
Coahuila de Zaragoza,37441
Colima,6518
Distrito Federal,63306
Durango,5907
Guanajuato,23179
Guerrero,7002
Hidalgo,8709
Jalisco,91710
Michoacán de Ocampo,19498
Morelos,13234
Nayarit,3282
Nuevo León,42625
Oaxaca,9395
Puebla,16285
Querétaro Arteaga,15728
Quintana Roo,15890
San Luis Potosi,11500
Sinaloa,10586
Sonora,16184
State of Mexico,178927
Tabasco,7110
Tamaulipas,20015
Tlaxcala,8327
Unknown,≤100
Veracruz,29898
Yucatán,24909
Zacatecas,3121
