Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),372953,17
103527991214141,Cero DICOM,Cero Dicom,225842,8
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,174651,6
103463095024719,Curiocity,Curiocíty,150323,8
228557190541436,BancoEstado,BancoEstado,136421,26
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,117613,11
1548643738480723,Asistencia Deudores,Asistencia Deudores,113146,2
105798328215264,Asistencia Familia,Asistencia Familia,101216,6
580663538777736,Consejo Minero,Feedback Comunicaciones,99940,4
975480692628091,Son todos narco,Son todos narcos,76155,6
19270352324,Universidad Andrés Bello,These ads ran without a disclaimer,74384,1
558224964238853,Anglo American,Anglo American,71148,2
256214294989170,DaleProfe,daleProfe,69808,72
100975964813324,No+desempleo,No más Desempleo,62528,8
386423238164424,Enel Chile,Enel Chile,57054,1
184559421980613,Vlado Mirosevic,Vlado Mirosevic,56916,4
113924653318737,ICF,ICF,44074,9
386634201382499,Marco Enriquez-Ominami,Marco Enríquez-Ominami,41327,4
1409821842658101,Merlín Research,Merlín Research,41327,1
756450494522524,Andrés Jouannet Diputado,Andrés Jouannet,40082,10
194708347256755,Puranoticia.cl,Puranoticia.cl,33720,8
110835964029132,Var Constitucional,Var Constitucional,32485,9
105216321995280,Pivotes_cl,Fundación Pivotes,32049,1
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,31496,2
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,30000,1
113194374358815,Compromiso Minero Chile,Compromiso Minero,29264,3
221901754840837,Acciona.Chile,ACCIONA Chile,27863,14
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,27442,16
922533087852291,Luis Malla Diputado,Luis Malla Diputado,27255,3
26929188652,El Observatodo,MiVoz.cl,26627,54
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,24371,23
108834425593018,Mujer Siembra Seguro,Mujer Siembra Seguro,19977,15
2241627812774263,Felipe Cruz - Concejal de Recoleta,Felipe Cruz - Concejal de Recoleta,19156,1
103135519746590,Mall Curicó,These ads ran without a disclaimer,18803,1
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,18510,14
181189911970230,Alberto Undurraga V,Alberto Undurraga V,18157,2
632687896928177,Oscar Crisóstomo,Oscar Crisóstomo,13177,5
198921630648476,Vidrios Lirquén,Vidrios Lirquen,13163,1
117752777993026,Economía y Finanzas para Todos,Economía y Finanzas para Todos,13035,3
179469489118356,UDLA Chile,UDLA Chile,12339,2
1101427233255754,Christopher White,Christopher White Bahamondes,11977,17
350025708997760,Minera Vizcachitas,Minera Vizcachitas,11602,6
104857081932390,Paulina Vodanovic Senadora,Paulina Vodanovic,10435,15
154785904692548,SalmonChile,SalmonChile,10421,4
112555455065264,Vehículos en Peligro,Vehículos en Peligro,9732,6
101248676163115,Asociación Comunal La Higuera,Asociación Comunal La Higuera,9620,6
104224427947088,Circula el Plástico,Metrix,8818,3
116640121351503,Tu Espacio Extra Mini Bodegas,These ads ran without a disclaimer,8764,1
110298075136183,Cultura Previsional Chile,Servicios Audiovisualea Sofan SpA,8762,6
358212417554442,Fisiología del Ejercicio,These ads ran without a disclaimer,8753,1
112414063439760,DeliBest Chile,Brecha Digital Consultores,8193,49
105362052496422,Nancy Carola Márquez Consejera,Nancy Carola Márquez Consejera,8143,1
1657924067839348,Aguas Antofagasta Grupo EPM,Aguas Antofagasta Grupo EPM,7391,3
211676538936148,Fundación Reforestemos,Fundación Reforestemos,6909,1
78239901502,Diario Financiero,Grupo DF,6878,17
110405624650830,Chile En La Encrucijada,Chile En La Encrucijada,5890,3
107348265155409,Wonder Woman,These ads ran without a disclaimer,5773,1
226593947367922,Cultiva,Brotar,5611,4
200033693376679,Norte Verde,Inmobiliaria Norte Verde Spa,5571,1
486113348433421,Ximena Ordenes Neira,Ximena Ordenes,5507,22
478976528820583,I. Municipalidad de La Granja,Brecha Digital Consultores Ltda.,5256,7
100545818677825,Manuel León Saa,Manuel León Saa,5112,2
761606963919174,Somos Aclara,Somos Aclara,4816,3
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,4810,2
109626371709961,Salmones Austral,Salmones Austral,4778,11
173417548106840,Natalia Romero,Natalia Romero,4497,4
108259318940861,TD_Ln2_Cuidado Cariñoso,These ads ran without a disclaimer,4257,1
600661340080888,Municipalidad de Salamanca,Municipalidad de Salamanca,4227,6
103067685892919,VOCES - Credicorp,These ads ran without a disclaimer,3899,1
113540781539326,Workmed,Workmed,3717,3
106088671518497,Agustín Iglesias Concejal Independencia,Agustín Iglesias Concejal Independencia,3644,1
110390070348499,Viviana Delgado Diputada Ambientalista,Viviana Delgado,3633,2
1507501559366742,Elige Crecer Tarapacá,Elige Crecer Tarapacá,3564,1
714668238565787,Felipe Delpin,Felipe Delpin,3553,3
184169995325116,Gerardo Rojas Escudero,Gerardo Rojas Escudero,3499,5
108523631002340,Loreta Villegas- Consejera Regional Aysen,Loreta Villegas- Consejera Regional Aysen,3194,3
107151670642286,Al Aguaite Sin Censura,Al Aguaite Sin Censura,2800,1
104684192398328,Francisco Corral Macías,SocialClick Ads,2736,3
107843817654667,Marcela Mansilla Potocnjak,Marcela Mansilla Potocnjak,2717,1
102020808805309,Cristian Quilodran Parra,Cristian Quilodran Parra,2702,1
445594468814604,Héctor Ulloa Aguilera,Héctor Ulloa Aguilera,2586,1
107835718275391,Jordi Valenzuela Muñoz,Jordi Valenzuela Muñoz,2510,2
105423425922613,Es Tiempo de Ahorrar,Es Tiempo de Ahorrar,2476,8
106568344075951,Punto noticioso chile,Punto noticioso chile,2438,1
104699082662164,Aseguro mi futuro,Aseguro mi futuro,2127,3
103030962615298,Chile YAAC,Chile YAAC,1931,2
391338058160314,Desafío Chile Sin Basura,Asesorías y Servicios Kyklos SpA,1684,1
317209815074690,Diario La Batalla de Maipú,Diario La Batalla de Maipú,1647,2
618572991673954,Dr. Ricardo Celis,Dr. Ricardo Celis,1625,1
211625929000469,Jaime Escudero,Jaime Escudero,1609,6
158163533010270,Javiera Calvo,Javiera Calvo,1603,1
126170624336,Amnistía Internacional - Chile,Amnistía Internacional Chile,1537,1
108390475493550,Belong Communication Lab,Belong Communication Lab,1511,1
100338795720301,larepublicadelasletrassantiago,These ads ran without a disclaimer,1251,1
101576936208402,Patagoniabim,Patagoniabim,1098,1
111897790464462,Marcelo Miñañir Matus Concejal Graneros,Marcelo Miñañir Matus Concejal Graneros,1041,1
928123800586927,Montina,These ads ran without a disclaimer,1014,1
727274947350582,Diario Tierramarillano,Diario Tierramarillano,995,1
1621023591454427,Sandro Puebla Veas,Sandro Puebla Veas,980,1
106375945766381,Los amo a todos.KK,These ads ran without a disclaimer,962,1
109210378255254,paularetamalretamal,These ads ran without a disclaimer,930,1
115477494827470,el buen dato antofagasta,These ads ran without a disclaimer,902,1
410608772316031,UNICEF Chile,These ads ran without a disclaimer,802,1
105781682496360,Diputado Gastón Von Muhlenbrock,Diputado Gastón Von Muhlenbrock,771,1
109416599136825,El Diario de Antofagasta,El Diario de Antofagasta,770,2
101180752297383,Gustavo Benavente Diputado,Gustavo Benavente Diputado,757,1
300345197052910,Pablo Gutierrez Core,Pablo Gutierrez Core,708,1
1575217122560418,Juan Ramón Godoy,Juan Ramón Godoy,667,1
150990768265776,Alex de Marcos,These ads ran without a disclaimer,499,1
288474234548240,Centro de Sistemas Públicos,These ads ran without a disclaimer,463,1
2157653417896923,IPNET Growth Partner LATAM,These ads ran without a disclaimer,167,1
112001677152704,Dominio_intelectual,These ads ran without a disclaimer,161,1
325057681401429,Fundación Vidas Con Propósitos,These ads ran without a disclaimer,≤100,1
166696645047489,Fundación Marcelíno Muñoz,These ads ran without a disclaimer,≤100,1
105824148944386,makaya35,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
110967886929196,That's ENT,These ads ran without a disclaimer,≤100,1
101885212956696,TD_KK_Buscando la felicidad,These ads ran without a disclaimer,≤100,1
475778355919914,BB - Best Bios,These ads ran without a disclaimer,≤100,1
273626203259816,Yo soy Annyull Maestre,These ads ran without a disclaimer,≤100,1
105725594737658,Biosfera Austral,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
