Location name,Amount spent (IDR)
Aceh,672039
Bali,2708870
Bangka–Belitung Islands,319256
Banten,3744953
Bengkulu,637035
Central Java,10886241
Central Kalimantan,684325
Central Sulawesi,933370
East Java,11130227
East Kalimantan,1468698
East Nusa Tenggara,1962329
Gorontalo,524666
Jakarta,6244334
Jambi,740408
Lampung,3162409
Maluku,450883
North Kalimantan,174777
North Maluku,333725
North Sulawesi,2035763
North Sumatra,6053163
Papua (province),817450
Riau,3044393
Riau Islands Province,777384
South Kalimantan,691269
South Sulawesi,3378941
South Sumatra,3105811
Southeast Sulawesi,611044
Special Region of Yogyakarta,2174862
Unknown,1923
West Java,10845884
West Kalimantan,1738370
West Nusa Tenggara,1766218
West Papua,336443
West Sulawesi,317200
West Sumatra,1290572
