Location name,Amount spent (THB)
Amnat Charoen,117
Ang Thong,≤100
Ayutthaya,904
Bangkok,29059
Bueng Kan,131
Buriram,405
Chachoengsao,1613
Chai Nat,258
Chaiyaphum,281
Chanthaburi,666
Chiang Mai,1621
Chiang Rai,521
Chon Buri,9941
Chumphon,1295
Kalasin,313
Kamphaeng Phet,257
Kanchanaburi,474
Khon Kaen,877
Krabi,480
Lampang,301
Lamphun,184
Loei,208
Lop Buri,452
Mae Hong Son,185
Maha Sarakham,292
Mukdahan,139
Nakhon Nayok,110
Nakhon Pathom,1787
Nakhon Phanom,180
Nakhon Ratchasima,1157
Nakhon Sawan,1444
Nakhon Si Thammarat,3476
Nan,141
Narathiwat,205
Nong Bua Lam Phu,186
Nong Khai,180
Nonthaburi,1323
Pathum Thani,1104
Pattani,279
Phangnga,240
Phatthalung,859
Phayao,395
Phetchabun,240
Phetchaburi,466
Phichit,265
Phitsanulok,1756
Phrae,151
Phuket,4910
Prachin Buri,252
Prachuap Khiri Khan,374
Ranong,229
Ratchaburi,755
Rayong,964
Roi Et,366
Sa Kaeo,264
Sakon Nakhon,287
Samut Prakan,1488
Samut Sakhon,1169
Samut Songkhram,126
Saraburi,292
Satun,268
Sing Buri,122
Sisaket,416
Songkhla,2923
Sukhothai,173
Suphan Buri,410
Surat Thani,15683
Surin,392
Tak,294
Trang,3018
Trat,574
Ubon Ratchathani,623
Udon Thani,507
Unknown,≤100
Uthai Thani,141
Uttaradit,140
Yala Province,219
Yasothon,176
