Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,660
Cerro Largo Department,≤100
Colonia Department,494
Durazno Department,≤100
Flores Department,139
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,1601
Montevideo Department,5476
Paysandú Department,≤100
Rivera Department,492
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
