Location name,Amount spent (IDR)
Aceh,751959
Bali,2608370
Bangka–Belitung Islands,378963
Banten,2882664
Bengkulu,607691
Central Java,6519337
Central Kalimantan,629227
Central Sulawesi,853944
East Java,6750995
East Kalimantan,1673399
East Nusa Tenggara,1292799
Gorontalo,529393
Jakarta,4682707
Jambi,840549
Lampung,1475208
Maluku,825403
North Kalimantan,263625
North Maluku,852316
North Sulawesi,2636184
North Sumatra,4325438
Papua (province),866234
Riau,2022255
Riau Islands Province,831111
South Kalimantan,879935
South Sulawesi,2708788
South Sumatra,2225845
Southeast Sulawesi,683606
Special Region of Yogyakarta,1348672
Unknown,1190
West Java,9684305
West Kalimantan,1181916
West Nusa Tenggara,1273214
West Papua,460533
West Sulawesi,393349
West Sumatra,1048395
