Location name,Amount spent (TRY)
Adana Province,1397
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,130
Amasya Province,≤100
Ankara Province,796
Antalya Province,644
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,262
Ağrı Province,≤100
Balıkesir Province,189
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,745
Denizli Province,186
Diyarbakır Province,≤100
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,825
Gaziantep Province,246
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,395
Isparta Province,≤100
Istanbul Province,13424
Iğdır Province,≤100
Kahramanmaraş Province,169
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,631
Kilis Province,≤100
Kocaeli Province,633
Konya Province,248
Kütahya Province,≤100
Kırklareli Province,113
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,214
Mardin Province,≤100
Mersin Province,615
Muğla Province,205
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,209
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,500
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,646
Tokat Province,≤100
Trabzon Province,≤100
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,124
Zonguldak Province,≤100
Çanakkale Province,728
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,2641
Şanlıurfa Province,137
Şırnak Province,≤100
