Location name,Amount spent (MXN)
Aguascalientes,7370
Baja California,45974
Baja California Sur,8057
Campeche,16953
Chiapas,14610
Chihuahua,25976
Coahuila de Zaragoza,19720
Colima,8742
Distrito Federal,96782
Durango,6241
Guanajuato,31940
Guerrero,11390
Hidalgo,7139
Jalisco,101352
Michoacán de Ocampo,42239
Morelos,21687
Nayarit,5003
Nuevo León,117590
Oaxaca,22343
Puebla,37249
Querétaro Arteaga,20710
Quintana Roo,34878
San Luis Potosi,13512
Sinaloa,17278
Sonora,27281
State of Mexico,52682
Tabasco,11802
Tamaulipas,27442
Tlaxcala,6804
Unknown,≤100
Veracruz,39589
Yucatán,35485
Zacatecas,10057
