Location name,Amount spent (JMD)
Clarendon Parish,≤100
Manchester Parish,≤100
Portland Parish,≤100
Saint Andrew Parish,372
Saint Ann Parish,≤100
Saint Catherine Parish,186
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
