Location name,Amount spent (EGP)
Al Sharqia Governorate,1322
Alexandria Governorate,1097
Aswan Governorate,129
Asyut Governorate,269
Beheira Governorate,487
Beni Suef Governorate,218
Cairo Governorate,2503
Dakahlia Governorate,801
Damietta Governorate,249
Faiyum Governorate,211
Gharbia Governorate,683
Giza Governorate,677
Ismailia Governorate,143
Kafr el-Sheikh Governorate,294
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,283
Monufia Governorate,367
New Valley Governorate,≤100
North Sinai Governorate,110
Port Said Governorate,232
Qalyubia Governorate,609
Qena Governorate,182
Red Sea Governorate,≤100
Sohag Governorate,267
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
