Location name,Amount spent (VND)
An Giang Province,23116
Bà Rịa–Vũng Tàu Province,211714
Bình Dương Province,364109
Bình Phước Province,82922
Bình Thuận Province,53837
Bình Định Province,78709
Bạc Liêu Province,14956
Bắc Giang Province,586135
Bắc Kạn Province,87427
Bắc Ninh Province,579943
Bến Tre Province,24911
Cao Bằng Province,196654
Cà Mau Province,23757
Cần Thơ,33035
Da Nang,203197
Gia Lai Province,157415
Haiphong,819736
Ho Chi Minh City,1028397
Hà Giang Province,140355
Hà Nam Province,262611
Hà Tĩnh Province,308338
Hòa Bình Province,158961
Hưng Yên Province,484905
Hải Dương Province,632703
Hậu Giang Province,5321
Khánh Hòa Province,111778
Kiên Giang Province,39877
Kon Tum Province,71949
Lai Châu Province,46033
Long An Province,49156
Lào Cai Province,182428
Lâm Đồng Province,136557
Lạng Sơn Province,166702
Nam Định Province,469221
Nghệ An Province,817365
Ninh Bình Province,293902
Ninh Thuận Province,34351
Phú Thọ Province,421891
Phú Yên Province,48853
Quảng Bình Province,251346
Quảng Nam Province,114566
Quảng Ngãi Province,93673
Quảng Ninh Province,486707
Quảng Trị Province,88576
Sóc Trăng Province,14223
Sơn La Province,181385
Thanh Hóa Province,943303
Thái Bình Province,466054
Thái Nguyên Province,380017
Thừa Thiên–Huế Province,106913
Tiền Giang Province,27533
Trà Vinh Province,9355
Tuyên Quang Province,147502
Tây Ninh Province,38428
Vĩnh Long Province,12305
Vĩnh Phúc Province,418736
Yên Bái Province,150270
Điện Biên Province,153065
Đắk Lắk Province,173996
Đắk Nông Province,68678
Đồng Nai Province,374365
Đồng Tháp Province,30513
