Location name,Amount spent (EUR)
Alsace,499
Aquitaine,1064
Auvergne,321
Basse-Normandie,329
Bourgogne,411
Bretagne,846
Centre,596
Champagne-Ardenne,343
Corse,124
Franche-Comté,265
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,450
Languedoc-Roussillon,993
Limousin,190
Lorraine,624
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,818
New Caledonia,≤100
Nord-Pas-de-Calais,990
Pays de la Loire,859
Picardie,631
Poitou-Charentes,493
Provence-Alpes-Côte d'Azur,1936
Reunion Island,≤100
Rhône-Alpes,1879
Saint-Martin,≤100
Unknown,≤100
Île-de-France,7526
