Location name,Amount spent (INR)
Andaman and Nicobar Islands,262
Andhra Pradesh,144481
Arunachal Pradesh,781
Assam,25671
Bihar,80266
Chandigarh,3123
Chhattisgarh,28047
Dadra and Nagar Haveli,1354
Delhi,53240
Goa,2617
Gujarat,45700
Haryana,44474
Himachal Pradesh,10884
Jammu and Kashmir,8561
Jharkhand,22279
Karnataka,336899
Kerala,20883
Lakshadweep,≤100
Madhya Pradesh,50447
Maharashtra,166594
Manipur,1239
Meghalaya,299537
Mizoram,451
Nagaland,137119
Odisha,13543
Puducherry,1898
Punjab region,25236
Rajasthan,99294
Sikkim,719
Tamil Nadu,65659
Telangana,100533
Tripura,2370
Unknown,≤100
Uttar Pradesh,91114
Uttarakhand,11517
West Bengal,46501
