Location name,Amount spent (ARS)
Buenos Aires,1665077
Catamarca,112899
Chaco,127854
Chubut,74236
Ciudad Autónoma de Buenos Aires,309585
Corrientes,94212
Córdoba,2789594
Entre Rios,113403
Formosa,30858
Jujuy,575824
La Pampa,723629
La Rioja,389748
Mendoza,110503
Misiones,1534553
Neuquén,32539
Río Negro,28491
Salta,2140791
San Juan,1111787
San Luis,400264
Santa Cruz,40493
Santa Fe,676490
Santiago del Estero,23628
Tierra del Fuego,1012773
Tucuman,567729
Unknown,13727
