Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
1011307815614890,Ríkislögreglustjóri,Ríkislögreglustjóri,25718,3
737169626371453,Heimildin,Stundin,13452,6
152804904889,Samfylkingin,Samfylkingin,6156,4
573559522797177,Flokkur fólksins,Flokkur Fólksins,4001,3
128854307193614,Landsvirkjun,Landsvirkjun,3482,2
74969168478,Sjálfstæðisflokkurinn í Hafnarfirði,Sjálfstæðisflokkurinn í Hafnarfirði,2423,2
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,1720,4
154893001218870,ADHD samtökin,ADHD samtökin,1397,5
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,685,1
626846780726124,Viðreisn,Viðreisn,674,1
166802253467224,Ung vinstri græn - UVG,Ung vinstri græn - UVG,660,3
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,527,3
156161194561570,Kjarninn,Kjarninn,395,1
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,380,1
104853645903563,Excellent Book,These ads ran without a disclaimer,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,4
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,2
