Location name,Amount spent (MXN)
Aguascalientes,4116
Baja California,13328
Baja California Sur,1701
Campeche,14907
Chiapas,7652
Chihuahua,17008
Coahuila de Zaragoza,23655
Colima,1928
Distrito Federal,74439
Durango,4392
Guanajuato,10587
Guerrero,6262
Hidalgo,6216
Jalisco,37362
Michoacán de Ocampo,10356
Morelos,4612
Nayarit,2251
Nuevo León,44305
Oaxaca,6852
Puebla,14294
Querétaro Arteaga,8571
Quintana Roo,6069
San Luis Potosi,10115
Sinaloa,7102
Sonora,8920
State of Mexico,60710
Tabasco,5311
Tamaulipas,18621
Tlaxcala,2356
Unknown,≤100
Veracruz,16657
Yucatán,16832
Zacatecas,3009
