Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,2499047,94
2339859699626643,Hacemos Unidos por Córdoba,Hacemos Unidos por Córdoba,1383402,64
120527421023470,Despierta Chubut,Despierta Chubut,670239,15
101481752980291,Derecho al Futuro,Derecho al Futuro,632788,44
105713179194959,Martín Llaryora 2023,Hacemos Unidos por Córdoba,483172,36
104377591978898,Compacto Córdoba,Compacto Córdoba,411752,10
132275286851048,Luis Alfredo Juez,Juntos por el Cambio,310438,83
110079031997390,Con Larreta,Con Larreta,268725,190
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,263329,54
106851377838588,Justicia Córdoba,Justicia Córdoba,189966,8
110568602036048,Córdoba La Número 1,Córdoba La Número 1,184534,36
138406616275954,Marcelo Orrego,Producción y Trabajo,166067,4
105925915008935,Frente Cambia Jujuy,Frente Cambia Jujuy,157156,3
100975902971250,La Libertad Avanza en San Juan,La Libertad Avanza en San Juan,148184,8
181701801980107,Daniel Passerini,Daniel Passerini,147787,9
525334380868858,Martín Lousteau,Fundación Lebensohn,119625,26
120110414388057,Santa Fe Puede,Santa Fe Puede,108561,8
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,104112,4
174545086044880,Gobierno de Santa Fe,Brote AD S.A.,101406,19
103107652819753,Elijo Hacer,Elijo Hacer Santa Fe,100512,12
385958661832297,CPC Villa El Libertador Municba,municipalidad de córdoba,92510,6
57718951374,Jorge Macri,Jorge Macri,84358,12
110890318187982,Escucharte Santa Fe,Escucharte Santa Fe,80793,97
111098971973298,Sebastian Abella Intendente,Sebastian Abella Intendente,76516,8
259111760849274,Federico Angelini,Juntos por el Cambio,73465,9
253898394637965,Luciana Echevarría,MST Movimiento Socialista de los Trabajadores,73152,20
103088924366000,Noticias d,Noticias d,67176,216
1025286324218044,CPC Mons Pablo Cabrera MuniCba,municipalidad de córdoba,63282,4
102201116202672,Federico Lifschitz,Federico Lifschitz,62351,30
169481676449081,Adán Bahl,Adán Bahl,60979,2
499141756879767,Federico Achával,Federico Achával,59921,1
1726365124243504,Clara García,Clara Garcia,58718,16
622853724492420,Federico Otermín,PJ Lomas de Zamora,57014,7
101089933000633,Es con Rossi,Es con Rossi,56985,15
958750317533178,Manuela Castañeira,Nuevo MAS,56418,12
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,54807,37
330297937130546,Roberto Sukerman,Vamos Rosario,54094,3
564830380326427,Juan Carlos Polini,Polini,53537,42
113902874399198,La Provincia Hoy,La Provincia Hoy,53170,12
134952823851842,CPC Colón MuniCba,municipalidad de córdoba,51897,4
171330806277312,Diego Santilli,Instituto República,50271,60
406037676834793,Gaceta Bonaerense,Gaceta,49829,6
1418780111682690,Marcos Cleri,Marcos Cleri,48646,26
104754869652010,Antonio Bonfatti,Antonio Bonfatti,48461,14
65695624363,Rubén Giustiniani,Igualdad y Participación,45490,21
110806461830762,El Sol Web,El Sol Web,43980,18
455934264436675,Rogelio Frigerio,Organización ERA,43536,28
314550791947743,InfoBonaerenses,Noticias de mi barrio,42371,5
143715592310560,Infocampo,Infocampo,39824,17
103086469455193,Gustavo puede,Gustavo Puede,39163,22
1541663639410402,Peta Bernarte,Peta Bernarte,38739,26
106560742263098,Noticias El Portal,Noticias El Portal,37098,16
1438488546445746,CPC Argüello MuniCba,municipalidad de córdoba,35306,4
587405287971230,Mariano Cascallares,Partido Justicialista Almirante Brown,35181,12
248730858601074,Juan Andreotti,Frente Renovador San Fernando,34716,2
317140548314140,San Fernando Municipio,San Fernando Municipio,34520,2
102007812840437,Jóvenes con Wado,Jóvenes con Wado,34259,10
149721655226597,Oscar Cachi Martinez,Oscar Martínez,34081,1
147255748694051,Fernando Espinoza,Municipio de La Matanza,34041,6
572672609527991,Ramiro Fernández Patri,Ramiro Fernández Patri,33609,37
604770309648894,José Lepere,José Lepere,33471,5
796480967084066,Cele Fierro,MST Movimiento Socialista de los Trabajadores,32806,2
723782314401584,Enrique Estévez,Enrique Estevez,32757,10
102187456039094,Enterate Ya,Enterate Ya!,32662,10
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,31604,9
72669217467,Vilma Ripoll,MST Movimiento Socialista de los Trabajadores,31463,1
730231177082132,"Enrique  ""Quique""  Ramirez",PRO Formosa,31342,13
360320400750322,Nacho Martinez Kerz,Ignacio Martinez Kerz,31300,3
185922194792026,Myriam Bregman,Frente de Izquierda,31047,24
538102329855028,Juntos por el Cambio San Francisco,Juntos por el Cambio San Francisco,31037,9
