Location name,Amount spent (AUD)
Australian Capital Territory,693
Jervis Bay Territory,≤100
New South Wales,14306
Northern Territory,263
Queensland,6122
South Australia,2067
Tasmania,1003
Unknown,≤100
Victoria,8005
Western Australia,3070
