Location name,Amount spent (PYG)
Alto Paraguay Department,18164
Alto Paraná Department,1873892
Amambay Department,167354
Asunción,2064066
Boquerón department,73003
Caaguazú Department,974153
Caazapá Department,179874
Canindeyú Department,168404
Central Department,6837369
Concepción Department (Paraguay),159028
Cordillera Department,657891
Guairá Department,200437
Itapúa Department,842148
Misiones Department,224872
Paraguarí Department,209298
Presidente Hayes Department,195696
San Pedro Department,234228
Unknown,176
Ñeembucú Department,175126
