Location name,Amount spent (INR)
Andaman and Nicobar Islands,185
Andhra Pradesh,29519
Arunachal Pradesh,1317
Assam,17671
Bihar,30957
Chandigarh,2396
Chhattisgarh,118472
Dadra and Nagar Haveli,1848
Delhi,44053
Goa,3077
Gujarat,53899
Haryana,35820
Himachal Pradesh,10454
Jammu and Kashmir,5440
Jharkhand,12920
Karnataka,48226
Kerala,18734
Lakshadweep,≤100
Madhya Pradesh,191499
Maharashtra,183361
Manipur,205
Meghalaya,1093
Mizoram,2737
Nagaland,746
Odisha,14976
Puducherry,1016
Punjab region,31506
Rajasthan,132884
Sikkim,1050
Tamil Nadu,37900
Telangana,58149
Tripura,1799
Unknown,174
Uttar Pradesh,97181
Uttarakhand,11582
West Bengal,83629
