Location name,Amount spent (AUD)
Australian Capital Territory,1330
Jervis Bay Territory,≤100
New South Wales,16719
Northern Territory,607
Queensland,14535
South Australia,5098
Tasmania,1927
Unknown,≤100
Victoria,14483
Western Australia,11575
