Location name,Amount spent (JPY)
Aichi Prefecture,87053
Akita Prefecture,3244
Aomori Prefecture,4958
Chiba Prefecture,46298
Ehime Prefecture,7413
Fukui Prefecture,4530
Fukuoka Prefecture,68758
Fukushima Prefecture,8443
Gifu Prefecture,12095
Gunma Prefecture,12180
Hiroshima Prefecture,17081
Hokkaido,29079
Hyōgo Prefecture,33396
Ibaraki Prefecture,16696
Ishikawa Prefecture,6149
Iwate Prefecture,4832
Kagawa Prefecture,6040
Kagoshima Prefecture,7164
Kanagawa Prefecture,82080
Kumamoto Prefecture,11253
Kyoto Prefecture,26097
Kōchi Prefecture,3141
Mie Prefecture,11272
Miyagi Prefecture,18743
Miyazaki Prefecture,5479
Nagano Prefecture,12453
Nagasaki Prefecture,9026
Nara Prefecture,7540
Niigata Prefecture,10063
Okayama Prefecture,11754
Okinawa Prefecture,12512
Osaka Prefecture,72755
Saga Prefecture,6428
Saitama Prefecture,41637
Shiga Prefecture,9269
Shimane Prefecture,3098
Shizuoka Prefecture,25229
Tochigi Prefecture,10269
Tokushima Prefecture,3565
Tokyo,146380
Tottori Prefecture,2562
Toyama Prefecture,5172
Unknown,≤100
Wakayama Prefecture,4752
Yamagata Prefecture,4421
Yamaguchi Prefecture,6679
Yamanashi Prefecture,5208
Ōita Prefecture,9768
