Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
102654808090612,Lương Y Phạm Văn Thanh - Việc Tử Tế VTV1,These ads ran without a disclaimer,7351112,31
115104414914405,Miễn phí tham gia-16,These ads ran without a disclaimer,2190794,3
108390095364515,Phạm Văn Thanh- Đặc Trị Xương Khớp,These ads ran without a disclaimer,1565638,1
106105862280467,Xosovip-25,These ads ran without a disclaimer,1329865,3
654396084640049,IMM GROUP,IMM Group,965877,8
101433644865497,Góc nhìn Pháp lý Xây dựng,These ads ran without a disclaimer,612625,1
108287864810729,Living For House - Nhà Sản Xuất Kệ Tivi & Vách Ngăn Theo Yêu Cầu,These ads ran without a disclaimer,468891,1
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,176343,3
105159369188048,Hotelex Shanghai,These ads ran without a disclaimer,172655,1
185061704983484,Nha Khoa Paris,These ads ran without a disclaimer,140753,1
902785046529464,Tài liệu Thi Viên Chức Giáo Dục Quảng Ngãi,Tài liệu Thi Viên Chức Giáo Dục Quảng Ngãi,108179,1
108228572046403,Nguồn Đầu Tư Mới 4.0,These ads ran without a disclaimer,81421,1
1741991366079209,Doslink Migration & Investment,These ads ran without a disclaimer,79846,2
106864984981716,Tài liệu ôn thi viên chức giáo viên TP. HCM,Tài liệu ôn thi viên chức giáo viên TP. HCM,57835,3
106877281352810,Tài Liệu Thi Viên Chức Giáo Dục Đà Nẵng Quảng Nam,Tài Liệu Thi Viên Chức Giáo Dục Đà Nẵng Quảng Nam,52529,1
192195994956428,Tài Liệu Thi Viên Chức Giáo Viên,Tài Liệu Thi Viên Chức Giáo Viên,48146,1
1727496090862110,Tuyển giáo viên TP HCM,Tuyển giáo viên TP HCM,45414,1
108715314693314,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,16762,2
101692666268528,Vina Chuối Vincom Cộng Hoà,These ads ran without a disclaimer,6675,1
100912541413695,Más Impulso,These ads ran without a disclaimer,805,3
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
101478189323986,Thầy Phạm Văn Thanh Lào Cai,These ads ran without a disclaimer,≤100,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
1397405843841104,Ines de la Fressange Paris,These ads ran without a disclaimer,≤100,1
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,4
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
139359281350,ILAC,These ads ran without a disclaimer,≤100,1
