Location name,Amount spent (USD)
Alabama,10324
Alaska,2163
Arizona,28406
Arkansas,6116
California,101508
Colorado,20237
Connecticut,8316
Delaware,3271
Florida,59916
Georgia,27187
Guam,≤100
Hawaii,2770
Idaho,3687
Illinois,35103
Indiana,13802
Iowa,7577
Kansas,6538
Kentucky,9832
Louisiana,17886
Maine,7386
Maryland,28359
Massachusetts,15668
Michigan,33283
Minnesota,16095
Mississippi,7391
Missouri,13586
Montana,8131
Nebraska,3886
Nevada,17409
New Hampshire,4488
New Jersey,32007
New Mexico,5502
New York,66774
North Carolina,33600
North Dakota,1569
Northern Mariana Islands,≤100
Ohio,34802
Oklahoma,12899
Oregon,11989
Pennsylvania,48857
Puerto Rico,≤100
Rhode Island,2864
South Carolina,14675
South Dakota,1792
Tennessee,16916
Texas,92149
Unknown,≤100
Utah,6957
Vermont,1470
Virgin Islands (U.S.),≤100
Virginia,32342
Washington,20229
"Washington, District of Columbia",11954
West Virginia,8821
Wisconsin,31276
Wyoming,1366
