Location name,Amount spent (PLN)
Greater Poland Voivodeship,2890
Kuyavian-Pomeranian Voivodeship,1517
Lesser Poland Voivodeship,2850
Lower Silesian Voivodeship,2518
Lublin Voivodeship,1255
Lubusz Voivodeship,715
Masovian Voivodeship,5646
Opole Voivodeship,657
Podkarpackie Voivodeship,1425
Podlaskie Voivodeship,667
Pomeranian Voivodeship,2065
Silesian Voivodeship,3435
Unknown,≤100
Warmian-Masurian Voivodeship,1083
West Pomeranian Voivodeship,1530
Łódź Voivodeship,1867
Świętokrzyskie Voivodeship,740
