Location name,Amount spent (UYU)
Artigas Department,208
Canelones Department,688
Cerro Largo Department,240
Colonia Department,364
Durazno Department,139
Flores Department,≤100
Florida Department,159
Lavalleja Department,307
Maldonado Department,397
Montevideo Department,3185
Paysandú Department,1329
Rivera Department,528
Rocha Department,121
Río Negro Department,156
Salto Department,548
San José Department,159
Soriano Department,201
Tacuarembó Department,204
Treinta y Tres Department,152
Unknown,≤100
