Location name,Amount spent (THB)
Amnat Charoen,133
Ang Thong,≤100
Ayutthaya,638
Bangkok,17483
Bueng Kan,109
Buriram,422
Chachoengsao,288
Chai Nat,109
Chaiyaphum,287
Chanthaburi,245
Chiang Mai,1085
Chiang Rai,418
Chon Buri,900
Chumphon,455
Kalasin,277
Kamphaeng Phet,202
Kanchanaburi,490
Khon Kaen,656
Krabi,381
Lampang,368
Lamphun,176
Loei,202
Lop Buri,243
Mae Hong Son,≤100
Maha Sarakham,298
Mukdahan,137
Nakhon Nayok,≤100
Nakhon Pathom,791
Nakhon Phanom,286
Nakhon Ratchasima,1105
Nakhon Sawan,346
Nakhon Si Thammarat,2234
Nan,134
Narathiwat,210
Nong Bua Lam Phu,157
Nong Khai,169
Nonthaburi,1021
Pathum Thani,582
Pattani,342
Phangnga,334
Phatthalung,460
Phayao,434
Phetchabun,258
Phetchaburi,227
Phichit,446
Phitsanulok,5091
Phrae,147
Phuket,2827
Prachin Buri,212
Prachuap Khiri Khan,445
Ranong,128
Ratchaburi,390
Rayong,438
Roi Et,394
Sa Kaeo,159
Sakon Nakhon,510
Samut Prakan,526
Samut Sakhon,754
Samut Songkhram,≤100
Saraburi,286
Satun,230
Sing Buri,≤100
Sisaket,380
Songkhla,1950
Sukhothai,207
Suphan Buri,290
Surat Thani,7522
Surin,395
Tak,295
Trang,503
Trat,≤100
Ubon Ratchathani,710
Udon Thani,467
Unknown,≤100
Uthai Thani,102
Uttaradit,154
Yala Province,228
Yasothon,440
