Location name,Amount spent (COP)
Amazonas,562
Antioquia,3522675
Arauca,6365
Atlantico,389801
Bolivar,121804
Boyaca,28590
Caldas,98045
Caqueta,63901
Casanare,8365
Cauca,162889
Cesar,27564
Choco,17082
Cordoba,96175
Cundinamarca,207539
Distrito Especial,6213676
Guainia,2422
Guaviare,18169
Huila,85095
La Guajira,14370
Magdalena,98001
Meta,110078
Narino,30107
Norte de Santander,230157
Putumayo,135045
Quindio,19207
Risaralda,92131
San Andres y Providencia,2168
Santander,129968
Sucre,18949
Tolima,174187
Unknown,≤100
Valle del Cauca,1952816
Vaupes,673
Vichada,595
