Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,675,6
104599735671754,Goberna Honduras,Goberna Honduras,388,9
643513979193133,Unidos por Beatriz,Neuma,388,3
491553204198958,Revistazo.com,Revistazo.com,239,2
107952642129360,Por una Corte Imparcial con Justicia Social,Delmy Saray Caballero Zelaya,115,1
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,≤100,1
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100,1
902041709954551,Suyen Muñoz,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
801168856602067,Shadyside Church of Christ,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
100205232489461,Luis,These ads ran without a disclaimer,≤100,1
102446855386434,xose_gabriel_vazquez,These ads ran without a disclaimer,≤100,1
227622537655549,CGTN en Español,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
