Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,740
Bicol Region,3245
Cagayan Valley,2718
Calabarzon,18174
Caraga,1658
Central Luzon,10347
Central Visayas,5708
Cordillera Administrative Region,1763
Davao Region,3724
Eastern Visayas,2621
Ilocos Region,6060
Metro Manila,30061
Mimaropa,1813
Northern Mindanao,5197
Soccsksargen,2408
Unknown,≤100
Western Visayas,7823
Zamboanga Peninsula,2382
