Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
114601521910,Jorge Aldana,Jorge  Aldana,1846,13
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,742,1
1392592317738074,Jorge Cálix,Jorge Cálix,394,5
100111588412670,Abogado Ric Soto HN,Ricardo Soto Castro,267,1
486382251906084,Honduras El Pais,Diario El  Pais.hn,255,7
459107311130639,Dr. Luther Harry,Dr. Luther Harry,140,1
109459948457740,Gustavo Caceres Diputado,Gustavo Alberto Caceres Banegas,123,1
104599735671754,Goberna Honduras,Goberna Honduras,118,6
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100,1
103825695591860,Josue Colindres Diputado,Johana Elizabeth Colindres Castellanos,≤100,1
421574011322217,Alcaldía del Distrito Central,Alcaldía del Distrito Central,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
120059597724905,Hipocrita Politica,These ads ran without a disclaimer,≤100,1
105544639144781,Ayuda Lista de Espera - AOL v. Mayorkas,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
106765298897445,Mineração Inteligente,These ads ran without a disclaimer,≤100,1
378875359494716,NutriNews España,These ads ran without a disclaimer,≤100,1
520171088019503,Liforme,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
101148695644168,Kingdom 1st TV,These ads ran without a disclaimer,≤100,1
